2460061.500000000, A.D. 2023-Apr-27 00:00:00.0000,-1.77E+05,  3.114240480192321E+05,  1.746333522696003E+05,-8.65E-01,-3.82E-01,-1.51E-01,  1.328706523127785E+00,  3.983361945291127E+05,  1.884972125656512E-02
2460062.500000000, A.D. 2023-Apr-28 00:00:00.0000,-2.47E+05,  2.715731378752839E+05,  1.576448255327776E+05,-7.52E-01,-5.37E-01,-2.40E-01,  1.332041300559687E+00,  3.993359356523053E+05,  4.182173612124211E-03
2460063.500000000, A.D. 2023-Apr-29 00:00:00.0000,-3.06E+05,  2.192930342306733E+05,  1.334420704340421E+05,-6.05E-01,-6.68E-01,-3.18E-01,  1.331109107239353E+00,  3.990564711254713E+05,-1.06E-02
2460064.500000000, A.D. 2023-Apr-30 00:00:00.0000,-3.50E+05,  1.569220996268704E+05,  1.031057368228418E+05,-4.30E-01,-7.70E-01,-3.82E-01,  1.326049588429790E+00,  3.975396655452551E+05,-2.43E-02
2460065.500000000, A.D. 2023-May-01 00:00:00.0000,-3.79E+05,  8.720667517287430E+04,  6.795977773453153E+04,-2.32E-01,-8.38E-01,-4.29E-01,  1.317315167062613E+00,  3.949211518943814E+05,-3.59E-02
2460066.500000000, A.D. 2023-May-02 00:00:00.0000,-3.90E+05,  1.326940658173604E+04,  2.955914203564591E+04,-1.93E-02,-8.67E-01,-4.57E-01,  1.305631783603779E+00,  3.914185616495009E+05,-4.46E-02
2460067.500000000, A.D. 2023-May-03 00:00:00.0000,-3.82E+05,-6.14E+04,-1.03E+04,  2.003889563016016E-01,-8.55E-01,-4.63E-01,  1.291936460682135E+00,  3.873128071277176E+05,-4.98E-02
2460068.500000000, A.D. 2023-May-04 00:00:00.0000,-3.56E+05,-1.33E+05,-4.98E+04,  4.170235785208898E-01,-7.99E-01,-4.46E-01,  1.277291600925404E+00,  3.829223886241819E+05,-5.12E-02
2460069.500000000, A.D. 2023-May-05 00:00:00.0000,-3.11E+05,-1.98E+05,-8.67E+04,  6.191274854603501E-01,-6.99E-01,-4.05E-01,  1.262779708328564E+00,  3.785718326723431E+05,-4.89E-02
2460070.500000000, A.D. 2023-May-06 00:00:00.0000,-2.49E+05,-2.53E+05,-1.19E+05,  7.943562612005525E-01,-5.58E-01,-3.40E-01,  1.249388843140423E+00,  3.745573522828440E+05,-4.35E-02
2460071.500000000, A.D. 2023-May-07 00:00:00.0000,-1.74E+05,-2.94E+05,-1.45E+05,  9.304998898674307E-01,-3.82E-01,-2.55E-01,  1.237906656354792E+00,  3.711150792831645E+05,-3.59E-02
2460072.500000000, A.D. 2023-May-08 00:00:00.0000,-9.00E+04,-3.18E+05,-1.63E+05,  1.016863620210967E+00,-1.78E-01,-1.53E-01,  1.228845415447738E+00,  3.683985875991086E+05,-2.69E-02
2460073.500000000, A.D. 2023-May-09 00:00:00.0000,-4.34E+02,-3.24E+05,-1.71E+05,  1.045705789154280E+00,  3.940752574815348E-02,-3.94E-02,  1.222417723536463E+00,  3.664716140417607E+05,-1.77E-02
2460074.500000000, A.D. 2023-May-10 00:00:00.0000,  8.896123209274877E+04,-3.11E+05,-1.69E+05,  1.013374867185086E+00,  2.579698150798292E-01,  7.787466706147335E-02,  1.218571017236309E+00,  3.653184005048336E+05,-9.11E-03
2460075.500000000, A.D. 2023-May-11 00:00:00.0000,  1.729397509068931E+05,-2.80E+05,-1.58E+05,  9.208765441833831E-01,  4.630177894375606E-01,  1.914194130871220E-01,  1.217071780040589E+00,  3.648689405008036E+05,-1.48E-03
2460076.500000000, A.D. 2023-May-12 00:00:00.0000,  2.465129498679982E+05,-2.32E+05,-1.37E+05,  7.737986286802253E-01,  6.411710738385481E-01,  2.938878249269647E-01,  1.217614959517446E+00,  3.650317816113055E+05,  5.088032390400678E-03
2460077.500000000, A.D. 2023-May-13 00:00:00.0000,  3.053528324148247E+05,-1.70E+05,-1.07E+05,  5.817073270064457E-01,  7.811181869739074E-01,  3.787568204000614E-01,  1.219927018593723E+00,  3.657249194848238E+05,  1.085553258753541E-02
2460078.500000000, A.D. 2023-May-14 00:00:00.0000,  3.460967747596833E+05,-9.84E+04,-7.18E+04,  3.572083589109407E-01,  8.744717800475073E-01,  4.408743390460101E-01,  1.223834611736164E+00,  3.668963864378603E+05,  1.623191421428056E-02
2460079.500000000, A.D. 2023-May-15 00:00:00.0000,  3.665629965283517E+05,-2.06E+04,-3.19E+04,  1.148370183175967E-01,  9.162987785701886E-01,  4.768032066359760E-01,  1.229282533741364E+00,  3.685296323667913E+05,  2.159583744138321E-02
2460080.500000000, A.D. 2023-May-16 00:00:00.0000,  3.658663548973511E+05,  5.843355420961714E+04,  9.817591155917980E+03,-1.30E-01,  9.053499548069762E-01,  4.850104570563220E-01,  1.236299667335065E+00,  3.706333160949613E+05,  2.712895726062090E-02
2460081.500000000, A.D. 2023-May-17 00:00:00.0000,  3.444304214361594E+05,  1.343517963725362E+05,  5.108790048527876E+04,-3.63E-01,  8.439917126016012E-01,  4.659002115717331E-01,  1.244925796019099E+00,  3.732193644161723E+05,  3.271560407594696E-02
2460082.500000000, A.D. 2023-May-18 00:00:00.0000,  3.038974841198908E+05,  2.029822869902345E+05,  8.960041872169546E+04,-5.70E-01,  7.378219953197228E-01,  4.216759248918556E-01,  1.255122062778842E+00,  3.762761282904994E+05,  3.793162565023461E-02
