            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459745.500000000, A.D. 2022-Jun-15 00:00:00.0000, -1.345761039158243E+06,  2.855638971194833E+05,  2.907452917226600E+04, -2.727499874497063E-03, -1.565273898211660E-02,  1.835022386895372E-04,  4.589949632293536E+00,  1.376032282361475E+06, -5.769914324725125E-04,
2459746.500000000, A.D. 2022-Jun-16 00:00:00.0000, -1.345995677810910E+06,  2.842112879530609E+05,  2.909035526124192E+04, -2.703940599463080E-03, -1.565764046069627E-02,  1.828422412523340E-04,  4.589782157269820E+00,  1.375982074612462E+06, -5.852306296778659E-04,
2459747.500000000, A.D. 2022-Jun-17 00:00:00.0000, -1.346228278411618E+06,  2.828582599813875E+05,  2.910612428458726E+04, -2.680322915973699E-03, -1.566243313008578E-02,  1.821813082465706E-04,  4.589612302884000E+00,  1.375931153548635E+06, -5.935031586327123E-04,
2459748.500000000, A.D. 2022-Jun-18 00:00:00.0000, -1.346458835958837E+06,  2.815048227169279E+05,  2.912183617044399E+04, -2.656647875706954E-03, -1.566711437713612E-02,  1.815196517917029E-04,  4.589440059699214E+00,  1.375879516340894E+06, -6.018078280469771E-04,
2459749.500000000, A.D. 2022-Jun-19 00:00:00.0000, -1.346687345545213E+06,  2.801509859075227E+05,  2.913749086648761E+04, -2.632916612826046E-03, -1.567168136216420E-02,  1.808575128309101E-04,  4.589265418637722E+00,  1.375827160267802E+06, -6.101433306336282E-04,
2459750.500000000, A.D. 2022-Jun-20 00:00:00.0000, -1.346913802366333E+06,  2.787967595570615E+05,  2.915308834266014E+04, -2.609130383354688E-03, -1.567613099371655E-02,  1.801951668659327E-04,  4.589088371020262E+00,  1.375774082727380E+06, -6.185082005767496E-04,
2459751.500000000, A.D. 2022-Jun-21 00:00:00.0000, -1.347138201733292E+06,  2.774421539482637E+05,  2.916862859442996E+04, -2.585290614126235E-03, -1.568045990515975E-02,  1.795329304184017E-04,  4.588908908618928E+00,  1.375720281252966E+06, -6.269007620950424E-04,
2459752.500000000, A.D. 2022-Jun-22 00:00:00.0000, -1.347360539089953E+06,  2.760871796673496E+05,  2.918411164664048E+04, -2.561398962546358E-03, -1.568466443475073E-02,  1.788711681965484E-04,  4.588727023726255E+00,  1.375665753533918E+06, -6.353190681893682E-04,
2459753.500000000, A.D. 2022-Jun-23 00:00:00.0000, -1.347580810035886E+06,  2.747318476301872E+05,  2.919953755800599E+04, -2.537457388638255E-03, -1.568874061190340E-02,  1.782103008801687E-04,  4.588542709243502E+00,  1.375610497442089E+06, -6.437608286351403E-04,
2459754.500000000, A.D. 2022-Jun-24 00:00:00.0000, -1.347799010356108E+06,  2.733761691092287E+05,  2.921490642630032E+04, -2.513468240607511E-03, -1.569268415335440E-02,  1.775508133347948E-04,  4.588355958791294E+00,  1.375554511064989E+06, -6.522233266791553E-04,
2459755.500000000, A.D. 2022-Jun-25 00:00:00.0000, -1.348015136058830E+06,  2.720201557601878E+05,  2.923021839426253E+04, -2.489434354470670E-03, -1.569649047384083E-02,  1.768932629281350E-04,  4.588166766845882E+00,  1.375497792746640E+06, -6.607033247277013E-04,
2459756.500000000, A.D. 2022-Jun-26 00:00:00.0000, -1.348229183422391E+06,  2.706638196469739E+05,  2.924547365620821E+04, -2.465359167137434E-03, -1.570015471673485E-02,  1.762382874478160E-04,  4.587975128904016E+00,  1.375440341137002E+06, -6.691969605702056E-04,
2459757.500000000, A.D. 2022-Jun-27 00:00:00.0000, -1.348441149052483E+06,  2.693071732628969E+05,  2.926067246528318E+04, -2.441246840721080E-03, -1.570367181083669E-02,  1.755866119095397E-04,  4.587781041678711E+00,  1.375382155250661E+06, -6.776996373722340E-04,
2459758.500000000, A.D. 2022-Jun-28 00:00:00.0000, -1.348651029950447E+06,  2.679502295455895E+05,  2.927581514122347E+04, -2.417102393775275E-03, -1.570703656020635E-02,  1.749390532987585E-04,  4.587584503327000E+00,  1.375323234535110E+06, -6.862059127948904E-04,
2459759.500000000, A.D. 2022-Jun-29 00:00:00.0000, -1.348858823592971E+06,  2.665930018824735E+05,  2.929090207839283E+04, -2.392931832617896E-03, -1.571024377451632E-02,  1.742965220070712E-04,  4.587385513708864E+00,  1.375263578948373E+06, -6.947093951564267E-04,
2459760.500000000, A.D. 2022-Jun-30 00:00:00.0000, -1.349064528022801E+06,  2.652355041029268E+05,  2.930593375374620E+04, -2.368742272903737E-03, -1.571328844793347E-02,  1.736600184063519E-04,  4.587184074673792E+00,  1.375203189044912E+06, -7.032026575478807E-04,
2459761.500000000, A.D. 2022-Jul-01 00:00:00.0000, -1.349268141948902E+06,  2.638777504530539E+05,  2.932091073424245E+04, -2.344542035154702E-03, -1.571616598698329E-02,  1.730306230279541E-04,  4.586980190367592E+00,  1.375142066067608E+06, -7.116771856482948E-04,
2459762.500000000, A.D. 2022-Jul-02 00:00:00.0000, -1.349469664853479E+06,  2.625197555471307E+05,  2.933583368298353E+04, -2.320340695557960E-03, -1.571887249600093E-02,  1.724094779330448E-04,  4.586773867547566E+00,  1.375080212042251E+06, -7.201233789158409E-04,
